Metrica,uniform,realistic,claude_haiku,claude_opus,run5f,run5l_v8e
Episoade,39,30,21,1,805,3959
Avg kills/ep,1.03,0.2,0.0,0.0,1.39,5.81
Avg reward/ep,-276.7,-273.5,-450.7,-599.9,-518.3,-558.5
Avg depth,1.59,1.53,1.86,3.0,2.76,2.76
Max depth,2,2,2,3,4,8
Avg timp (s),80.6,81.8,125.5,99.9,62.3,76.2
% A2/01 reach,0.0,0.0,0.0,0.0,21.74,6.31
% trigger cross,0.0,0.0,0.0,0.0,3.23,5.94
Buffs total,0,0,0,0,26,219
Avg level final,1.0,1.0,1.0,1.0,1.26,2.66
Max level final,1,1,1,1,5,5
