episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
57,fail,-537.8,37.8,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
58,fail,-725.8,225.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
59,fail,-511.1,11.1,1,6,0,0,-1,1,0,4,A1 Goblini,res://Levels/Area01/01.tscn
60,fail,-652.6,152.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
61,fail,-512.8,12.8,0,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
62,fail,-512.9,12.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
63,fail,-512.2,12.2,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
64,fail,-522.6,22.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
65,fail,-508.4,8.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
66,fail,-1197.2,697.2,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
67,fail,-515.8,15.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
68,fail,-511.2,11.2,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
69,fail,-550.5,50.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
70,fail,-524.6,24.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
71,fail,-518.8,18.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
72,fail,-544.9,44.9,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
73,fail,-521.9,21.9,3,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
74,fail,-516.6,16.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
75,fail,-506.6,6.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
76,fail,-637.7,137.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
77,fail,-587.7,87.7,6,6,0,0,-1,2,0,6,A1 Buff,res://Levels/Area01/03.tscn
78,fail,-576.5,76.5,5,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
79,fail,-591.0,91.0,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
80,fail,-560.0,60.0,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
81,fail,-570.3,70.3,4,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
82,fail,-621.2,121.2,9,6,0,0,-1,3,0,3,A1 Goblini,res://Levels/Area01/01.tscn
83,fail,-551.4,51.4,9,6,0,0,-1,3,0,6,A1 Goblini,res://Levels/Area01/01.tscn
84,fail,-587.6,87.6,7,6,0,0,-1,3,0,1,A1 Goblini,res://Levels/Area01/01.tscn
85,fail,-521.3,21.3,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
86,fail,-619.3,119.3,5,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
87,fail,-698.2,198.2,6,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
88,fail,-632.0,132.0,8,6,0,0,-1,3,0,6,A1 Goblini,res://Levels/Area01/01.tscn
89,fail,-638.8,138.8,5,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
90,fail,-762.2,262.2,9,6,0,0,-1,3,0,1,A1 Goblini,res://Levels/Area01/01.tscn
91,fail,-787.3,287.3,7,6,0,0,-1,3,0,4,A1 Goblini,res://Levels/Area01/01.tscn
92,fail,-680.5,180.5,6,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
93,fail,-770.8,270.8,7,6,0,0,-1,4,0,3,A1 Goblini,res://Levels/Area01/01.tscn
94,fail,-644.1,144.1,6,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
95,fail,-536.3,36.3,5,6,0,0,-1,4,0,2,A1 Goblini,res://Levels/Area01/01.tscn
96,fail,-539.5,39.5,0,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
97,fail,-561.9,61.9,7,6,0,0,-1,4,0,4,A1 Goblini,res://Levels/Area01/01.tscn
98,fail,-534.4,34.4,7,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
99,fail,-633.4,133.4,0,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
100,fail,-653.5,153.5,3,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
101,fail,-500.0,0.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
102,fail,-515.9,15.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
103,fail,-522.4,22.4,6,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
104,fail,-543.8,43.8,9,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
105,fail,-599.0,99.0,2,6,0,0,-1,1,0,3,A1 Goblini,res://Levels/Area01/01.tscn
106,fail,-537.9,37.9,3,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
107,fail,-511.7,11.7,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
108,fail,-510.0,10.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
109,fail,-521.2,21.2,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
110,fail,-511.4,11.4,1,6,0,0,-1,1,0,4,A1 Goblini,res://Levels/Area01/01.tscn
111,fail,-515.5,15.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
112,fail,-512.0,12.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
113,fail,-515.5,15.5,2,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
114,fail,-508.3,8.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
115,fail,-509.8,9.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
116,fail,-511.8,11.8,4,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
117,fail,-522.8,22.8,8,6,0,0,-1,2,0,3,A1 Goblini,res://Levels/Area01/01.tscn
118,fail,-506.6,6.6,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
119,fail,-516.7,16.7,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
120,fail,-518.0,18.0,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
121,fail,-513.3,13.3,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
122,fail,-500.0,0.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
123,fail,-500.0,0.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
124,fail,-500.0,0.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
125,fail,-500.0,0.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
126,fail,-840.9,340.9,4,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
127,fail,-518.0,18.0,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
128,fail,-611.5,111.5,0,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
129,fail,-508.5,8.5,3,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
130,fail,-651.2,151.2,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
131,fail,-570.0,70.0,5,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
132,fail,-511.1,11.1,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
133,fail,-520.3,20.3,9,6,0,0,-1,2,0,3,A1 Goblini,res://Levels/Area01/01.tscn
134,fail,-520.0,20.0,1,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
135,fail,-510.1,10.1,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
136,fail,-521.1,21.1,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
137,fail,-512.6,12.6,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
138,fail,-512.8,12.8,1,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
139,fail,-519.1,19.1,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
140,fail,-518.8,18.8,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
141,fail,-621.2,121.2,6,6,0,0,-1,2,0,4,A1 Goblini,res://Levels/Area01/01.tscn
142,fail,-515.6,15.6,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
143,fail,-515.9,15.9,3,6,0,0,-1,2,0,3,A1 Goblini,res://Levels/Area01/01.tscn
144,fail,-578.1,78.1,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
145,fail,-1171.8,671.8,8,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
146,fail,-652.3,152.3,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
147,fail,-527.0,27.0,9,6,0,0,-1,3,0,1,A1 Goblini,res://Levels/Area01/01.tscn
148,fail,-529.9,29.9,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
149,fail,-708.7,208.7,10,6,0,0,-1,3,0,4,A1 Goblini,res://Levels/Area01/01.tscn
150,fail,-578.4,78.4,2,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
151,fail,-640.4,140.4,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
152,fail,-603.1,103.1,4,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
153,fail,-559.0,59.0,1,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
154,fail,-543.0,43.0,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
